fy,title,title_url,original_solicitation,original_solicitation_url,recipient,state,award_number,amount,status
2023,Experimental and numerical investigations for the development and validation of thermo-chemistry models and property databases for selected wall lining materials under fire exposure,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04204-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,EASTERN KENTUCKY UNIVERSITY,KY,15PNIJ-23-GG-04204-RESS,"$290,289",Open
2023,Exploring how survivor perspectives and priorities are reflected in the use and implementation of Extreme Risk Protective Orders to address intimate partner violence,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02404-bsci,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171566,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-02404-BSCI,"$579,986",Open
2023,"Exploring Officer Patrol Behaviors Using Automated Vehicle Locator and Body-Worn Camera Data in Kansas City, Missouri",https://nij.ojp.gov/funding/awards/15pnij-23-gg-05490-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,NORTHEASTERN UNIVERSITY,MA,15PNIJ-23-GG-05490-RESS,"$862,804",Open
2023,Exploring the Impact of Station Dog Programs on Agency Wellness and Community Relationships,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05501-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,THE CNA CORPORATION,VA,15PNIJ-23-GG-05501-RESS,"$648,166",Open
2023,Extreme Risk Protection Orders in Washington State and their Impact on Firearm-Related Arrests and Convictions,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01935-nonf,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,UNIVERSITY OF WASHINGTON,WA,15PNIJ-23-GG-01935-NONF,"$166,500",Open
2023,"Extreme Risk Protection Orders, Leakage, and Social Networks: The Legislative, Behavioral, and Social Contexts Surrounding Mass Public Shooting Incidents and Plots",https://nij.ojp.gov/funding/awards/15pnij-23-gg-02408-bsci,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171566,UNIVERSITY OF MASSACHUSETTS LOWELL,MA,15PNIJ-23-GG-02408-BSCI,"$985,776",Open
2023,FIU - Forensic Technology Center of Excellence,https://nij.ojp.gov/funding/awards/15pnij-21-gk-02191-ress/2,,,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-21-GK-02191-RESS,"$300,000",Open
2023,"Forensic Technology Center of Excellence, Fiscal Year 2021",https://nij.ojp.gov/funding/awards/15pnij-21-gk-02192-mumu/2,,,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-21-GK-02192-MUMU,"$2,200,000",Open
2023,"Funding Support for the Operations of the Committee on Law and Justice of the National Academies of Sciences, Engineering, and Medicine",https://nij.ojp.gov/funding/awards/15pnij-23-gg-03573-nijb,"NIJ FY 2023 Invited to Apply – Funding Support for the Operations of the Committee on Law and Justice of the National Academies of Sciences, Engineering, and Medicine",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171860,NATIONAL ACADEMY OF SCIENCES,DC,15PNIJ-23-GG-03573-NIJB,"$250,000",Open
2023,Houston Police Department’s Domestic Abuse Response Team (D.A.R.T.): An Outcome Evaluation of an Innovative Approach to a Persistent Problem,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01929-nonf,NIJ FY23 Research and Evaluation of Services for Victims of Crime,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171534,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-01929-NONF,"$659,300",Open
2023,Impact of Relic DNA on Forensic Microbiome Applications in Criminal Investigations,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04205-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,UNIVERSITY OF TENNESSEE,TN,15PNIJ-23-GG-04205-RESS,"$229,454",Open
2023,Implementation Evaluation of Hate Crime Task Forces,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05489-hate,NIJ FY23 Research and Evaluation on Hate Crimes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171634,THE URBAN INSTITUTE,DC,15PNIJ-23-GG-05489-HATE,"$995,936",Open
2023,"Implementation of NPS Discovery – An Early Warning Systems for Novel Drug Intelligence, Surveillance, Monitoring, Response, and Forecasting using Drug Materials and Toxicology Populations in the US",https://nij.ojp.gov/funding/awards/15pnij-22-gg-04434-mumu/1,NIJ FY 2023 Invited to Apply - Funding to Support the Research and Development in Forensic Science for Criminal Justice Purposes Program,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171847,THE FREDRIC RIEDERS FAMILY RENAISSANCE FOUNDATION,PA,15PNIJ-22-GG-04434-MUMU,"$492,810",Past Project Period End Date
2023,Internal Affairs Complaint Investigations: A Multi-Site Comparison,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05497-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,UNIVERSITY OF MASSACHUSETTS LOWELL,MA,15PNIJ-23-GG-05497-RESS,"$907,011",Open
2023,Life-course and Intergenerational Effects of Crime and Criminal Justice Involvement: Identifying Risks and the Search for Resilience,https://nij.ojp.gov/funding/awards/15pnij-23-ag-01491-mumu,NIJ FY 2023 Invited to Apply - Longitudinal Research on Delinquency and Crime,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171854,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-AG-01491-MUMU,"$1,372,994",Open
2023,Losing Sleep and Losing Control: The Impact of Subjective and Objective Sleep on the Problem Behavior and Mental Health of Justice-Involved Young Adults,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01946-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,UNIVERSITY OF CALIFORNIA IRVINE,CA,15PNIJ-23-GG-01946-RESS,"$166,500",Open
2023,Mapping the Continuum of Support for Violent Extremism in the United States,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01383-domr,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171569,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-01383-DOMR,"$1,192,220",Open
2023,Measuring the Impact of Victim Services,https://nij.ojp.gov/funding/awards/2019-mu-mu-k026/1,,,RESEARCH TRIANGLE INSTITUTE,NC,2019-MU-MU-K026,"$99,900",Past Project Period End Date
2023,Mechanics of Retinal Hemmorhage in Abusive Head Trauma,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04211-slfo,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,UNIVERSITY OF UTAH,UT,15PNIJ-23-GG-04211-SLFO,"$604,409",Open
2023,Meeting National Safety Council Recommendations: Accurate Rapid Tests and Laboratory Confirmation Procedures for Fentanyl and Prevalent Opioids in Oral Fluid,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04233-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,"9 DELTA ANALYTICAL, LLC",CA,15PNIJ-23-GG-04233-RESS,"$434,500",Past Project Period End Date
2023,"Meeting the Ongoing, Urgent, Unmet Needs of Uvalde Residents After the Robb Elementary School Shooting",https://nij.ojp.gov/funding/awards/15pnij-23-gg-04105-aerx,NIJ FY 2023 Invited to Apply - University of Texas at Austin Developing More Effective Services and Programs for Victims of Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171863,UNIVERSITY OF TEXAS AT AUSTIN,TX,15PNIJ-23-GG-04105-AERX,"$1,000,000",Open
2023,Mental Health in the Criminal Justice System-The Effect of Mandating Treatment for Convicted Individuals,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01942-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,15PNIJ-23-GG-01942-RESS,"$25,655",Closed
2023,Military Sexual Trauma Experiences of Female Veterans in Michigan,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01953-nonf,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,MICHIGAN STATE UNIVERSITY,MI,15PNIJ-23-GG-01953-NONF,"$116,692",Open
2023,Mitigating demographic bias in forensic speaker identification,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04220-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,SRI INTERNATIONAL,CA,15PNIJ-23-GG-04220-RESS,"$553,851",Open
2023,Nanoparticle-Decorated Micropillars As Integrated Raman Spectroscopy and Mass Spectrometry Substrates for Quantitative and High-Throughput Toxicology Drug Analysis,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04235-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04235-RESS,"$199,676",Open
2023,Networks and Pathways of Violent Extremism: Effectiveness of Dis/Misinformation Campaigns,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01381-domr,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171569,CLEMSON UNIVERSITY,SC,15PNIJ-23-GG-01381-DOMR,"$953,203",Open
2023,New Age Therapeutics: Development and Validation of an Analytical Workflow for the Analysis of Psychedelics in Biological Matrices,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01426-ress,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171560,COMMONWEALTH OF VIRGINIA DEPARTMENT OF FORENSIC SCIENCE,VA,15PNIJ-23-GG-01426-RESS,"$441,886",Open
2023,Next Generation Emergency Networks,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01949-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VA,15PNIJ-23-GG-01949-RESS,"$166,500",Open
2023,NIJ co-sponsorship of the Center for Advanced Research in Forensic Science (CARFS),https://nij.ojp.gov/funding/awards/gojpnij23000040,"NIJ Non-solicited Applications, FY 2023",https://nij.ojp.gov/funding/opportunities/nij-2023-non-solicited,National Science Foundation,,GOJPNIJ23000040,"$600,000",Open
2023,NIJ Community Violence Intervention Research and Evaluation Training and Technical Assistance (TTA) Center,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04264-cvip,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171648,THE URBAN INSTITUTE,DC,15PNIJ-23-GG-04264-CVIP,"$5,000,000",Open
2023,NIJ FY23 National Study Examining Interpersonal Violence Experienced By Young Adults,https://nij.ojp.gov/funding/awards/15pnij-23-gk-02236-mumu,NIJ FY23 National Study Examining Interpersonal Violence Experienced By Young Adults,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171630,"WESTAT, INC.",MD,15PNIJ-23-GK-02236-MUMU,"$1,000,000",Open
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Albrecht & Smirnova,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0007,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Albrecht & Smirnova,,2023-community-perceptions-0007,"$10,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Community PoliSense,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0006,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Community PoliSense,,2023-community-perceptions-0006,"$25,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Duddon Research,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0011,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Duddon Research,,2023-community-perceptions-0011,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Johnston & Company,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0003,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Johnston & Company,,2023-community-perceptions-0003,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Just Police,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0004,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Just Police,,2023-community-perceptions-0004,"$2,500",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: MCHawks,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0001,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,MCHawks,,2023-community-perceptions-0001,"$25,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Michelle Masters,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0009,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Michelle Masters,,2023-community-perceptions-0009,"$2,500",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Micro-Community Policing Plans,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0002,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Micro-Community Policing Plans,,2023-community-perceptions-0002,"$10,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Mood mappers,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0012,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Mood mappers,,2023-community-perceptions-0012,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Policing Accountability and Policy Evaluation Research Lab,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0005,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,Policing Accountability and Policy Evaluation Research Lab,,2023-community-perceptions-0005,"$2,500",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: ScienceCast,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0008,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,ScienceCast,,2023-community-perceptions-0008,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: The Eagles,https://nij.ojp.gov/funding/awards/2023-community-perceptions-0010,Innovations in Measuring Community Perceptions Challenge,https://nij.ojp.gov/funding/opportunities/fy23-measuring-community-perceptions-challenge,The Eagles,,2023-community-perceptions-0010,"$5,000",Closed
2023,NIJ LEADS,https://nij.ojp.gov/funding/awards/15pnij-23-gk-04221-nijb,NIJ FY23 Support for the Law Enforcement Advancing Data and Science Scholars Program,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171682,NATIONAL POLICING INSTITUTE,VA,15PNIJ-23-GK-04221-NIJB,"$1,000,000",Open
2023,NIJ Multisite Impact and Cost-Efficiency Evaluation of Veterans Treatment Courts,https://nij.ojp.gov/funding/awards/15pnij-22-gk-00035-vtcx/1,,,AMERICAN UNIVERSITY,DC,15PNIJ-22-GK-00035-VTCX,"$1,500,000",Open
2023,Ontogenetic Study of the Pelvis Through Examination of Interlandmark Distances and Geometric Morphometric Analyses: Implications for Subadult Sex and Age Estimation,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01940-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER ED,NV,15PNIJ-23-GG-01940-RESS,"$111,000",Open
2023,Operationalizing the Individual versus Group Fairness Dichotomy for Recidivism Risk Assessment: US Legal Challenges and Technical Proposals,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01932-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,15PNIJ-23-GG-01932-RESS,"$166,500",Open
2023,Optimizing Analytical Parameters for Detection of Chronic and Single Dose Drug Exposure in Forensic Hair Analysis,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04208-mumu,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-23-GG-04208-MUMU,"$431,892",Open
2023,Optimizing New STRs for Enhanced DNA Mixture Deconvolution,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04214-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,THE UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,TX,15PNIJ-23-GG-04214-RESS,"$513,529",Open
2023,Pathways to Resilience: Assessing the Impact of Juvenile Justice Reforms in Oklahoma,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02409-titl,NIJ FY23 Research on Juvenile Justice Topics,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171662,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,VA,15PNIJ-23-GG-02409-TITL,"$1,095,972",Open
2023,Pivoting Headspace Ethanol Analysis to Accommodate Modern Day Scenarios,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01424-mumu,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171560,COMMONWEALTH OF VIRGINIA DEPARTMENT OF FORENSIC SCIENCE,VA,15PNIJ-23-GG-01424-MUMU,"$371,593",Open
2023,Police Supervision Redux: Examining Police Supervision in the 21st Century,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05488-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,NATIONAL POLICING INSTITUTE,VA,15PNIJ-23-GG-05488-RESS,"$1,000,000",Open
2023,Policing Leadership and Accountability: Harnessing Big Data and Causal Inference for Evaluating Police Reform Practices,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05487-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,UNIVERSITY OF UTAH,UT,15PNIJ-23-GG-05487-RESS,"$972,083",Open
2023,Positive Adolescent Interpersonal Relationships (PAIR): A Community-Based STRiV Study,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01380-reva,NIJ FY23 Research  and Evaluation on Violence Against Women,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171586,NATIONAL OPINION RESEARCH CENTER,IL,15PNIJ-23-GG-01380-REVA,"$1,996,357",Open
2023,Pretrial Policy Change and Place: Evaluating the Impacts of Maryland's Bail Reform on Crime and Pretrial Outcomes across Courts,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01931-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,UNIVERSITY OF CALIFORNIA IRVINE,CA,15PNIJ-23-GG-01931-RESS,"$55,500",Open
2023,PRISONERS ON THE MOVE: EXAMINING THE NATURE AND EFFECTS OF PRISON TRANSIENCY ON INCARCERATED INDIVIDUALS,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01936-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,CINCINNATI UNIV OF,OH,15PNIJ-23-GG-01936-RESS,"$105,000",Open
2023,Procedural Justice in Jails,https://nij.ojp.gov/funding/awards/15pnij-23-gg-06105-mumu,NIJ FY23 Research and Evaluation on Correctional Culture and Climate,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171774,THE CNA CORPORATION,VA,15PNIJ-23-GG-06105-MUMU,"$894,789",Open
2023,Quantification of psychotropic cannabinoids in newly emerging hemp-derived products and evaluation of their stability and interconversion during storage,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04234-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,WESTERN ILLINOIS UNIVERSITY,IL,15PNIJ-23-GG-04234-RESS,"$251,505",Open
2023,Quantifying the accuracy of low quality DNA sample analysis from genotyping to genealogical searching and integration as a bioinformatic pipeline,https://nij.ojp.gov/funding/awards/15pnij-23-ag-04262-dnax,NIJ FY 2023 Invited to Apply - Funding to Support the Research and Development in Forensic Science for Criminal Justice Purposes Program,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171873,UNIVERSITY OF OREGON,OR,15PNIJ-23-AG-04262-DNAX,"$266,406",Open
2023,Quantifying the strength of support in fingerprint casework comparisons,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04227-slfo,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04227-SLFO,"$609,185",Open
2023,"Quantitative and visual prediction of eye, hair and skin color from DNA",https://nij.ojp.gov/funding/awards/15pnij-23-gg-04206-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04206-RESS,"$980,527",Open
2023,Quantitative Assessment of Fracture Characteristics in Blunt Force Skeletal Trauma for Forensic Interpretations,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04219-slfo,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,"OHIO STATE UNIVERSITY, THE",OH,15PNIJ-23-GG-04219-SLFO,"$818,054",Open
2023,Rapid screening and identification of fentanyl in drug mixtures using surface enhanced Raman spectroscopy,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04230-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-23-GG-04230-RESS,"$190,662",Open
2023,Recovery and Analysis of Less Volatile Components for the Identification of Ignitable Liquid Residues in Fire Debris - Continuation of current NIJ-funded project (2020-DQ-BX-0003),https://nij.ojp.gov/funding/awards/15pnij-23-gg-04223-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,MIDDLE TENNESSEE STATE UNIVERSITY,TN,15PNIJ-23-GG-04223-RESS,"$99,818",Open
